frame,track_id,x1,y1,x2,y2,keypoints
1,1,880,285,1055,431,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [946.61279296875, 305.2395935058594], [0.0, 0.0], [930.5590209960938, 319.73321533203125], [987.7520751953125, 316.22393798828125], [909.9939575195312, 343.5943908691406], [1010.484375, 328.93768310546875], [906.337646484375, 364.82940673828125], [0.0, 0.0], [945.4493408203125, 357.4496765136719], [988.7695922851562, 356.54986572265625], [915.5955810546875, 379.75244140625], [1007.6991577148438, 379.2366638183594], [898.4319458007812, 408.2677307128906], [1025.7335205078125, 407.2939453125]]]"
2,1,870,288,1041,430,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [936.4532470703125, 309.2180480957031], [963.7537231445312, 309.9257507324219], [917.7621459960938, 322.20562744140625], [979.5001220703125, 325.59039306640625], [898.706298828125, 343.64300537109375], [1001.7470703125, 347.1761169433594], [0.0, 0.0], [0.0, 0.0], [923.0723266601562, 362.8067626953125], [967.90185546875, 364.74884033203125], [915.4376831054688, 377.83203125], [1001.4423217773438, 379.4979553222656], [891.8076782226562, 409.5053405761719], [1006.0324096679688, 410.7700500488281]]]"
3,1,859,298,1020,431,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [970.4010009765625, 330.7486877441406], [921.0005493164062, 330.77099609375], [969.237548828125, 347.2373962402344], [891.1470947265625, 339.3212890625], [976.8338623046875, 377.44281005859375], [0.0, 0.0], [0.0, 0.0], [899.5474243164062, 361.5088806152344], [936.734619140625, 368.1789855957031], [897.7391967773438, 370.85040283203125], [987.8197021484375, 376.9366760253906], [864.5366821289062, 406.8471984863281], [994.298095703125, 417.0566101074219]]]"
3,2,929,136,1027,233,"[[[968.2058715820312, 148.93231201171875], [970.418701171875, 145.87796020507812], [0.0, 0.0], [977.2119140625, 145.8201904296875], [0.0, 0.0], [987.3413696289062, 155.77459716796875], [964.649169921875, 156.42837524414062], [972.7386474609375, 173.01927185058594], [946.3124389648438, 170.41810607910156], [949.2926025390625, 182.1213836669922], [943.3245239257812, 179.87640380859375], [1009.6317749023438, 181.40863037109375], [992.0794677734375, 181.58021545410156], [992.2916870117188, 190.4402618408203], [965.6248168945312, 189.8579864501953], [1006.78271484375, 219.9984130859375], [976.8312377929688, 217.99427795410156]]]"
4,1,836,296,1002,434,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [935.5238037109375, 317.71160888671875], [894.5081787109375, 333.2770690917969], [946.32421875, 333.1692199707031], [876.995849609375, 348.2650146484375], [968.4613037109375, 345.1291198730469], [888.5169677734375, 342.1127014160156], [967.4628295898438, 332.5733642578125], [893.8460693359375, 378.79925537109375], [935.5018310546875, 379.084228515625], [877.240478515625, 377.69696044921875], [972.9227905273438, 378.46441650390625], [839.3447875976562, 419.572265625], [975.5664672851562, 421.3675537109375]]]"
4,2,915,132,1017,232,"[[[958.931884765625, 146.27239990234375], [961.3248291015625, 143.78097534179688], [0.0, 0.0], [967.7264404296875, 145.22402954101562], [0.0, 0.0], [975.7233276367188, 155.6223602294922], [958.2052612304688, 153.5931854248047], [957.0472412109375, 172.0355987548828], [936.6897583007812, 166.06288146972656], [934.53564453125, 180.86639404296875], [927.67724609375, 178.86822509765625], [998.53515625, 181.9547576904297], [984.3595581054688, 180.95314025878906], [979.7329711914062, 193.69989013671875], [957.9581909179688, 191.8956298828125], [1000.7418212890625, 217.708740234375], [973.370361328125, 213.65887451171875]]]"
5,1,820,297,985,435,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [904.9290161132812, 315.32415771484375], [931.0027465820312, 315.3239440917969], [885.6675415039062, 333.971923828125], [942.4736328125, 335.42547607421875], [860.0248413085938, 356.8484191894531], [956.048095703125, 359.225341796875], [863.3088989257812, 361.85882568359375], [949.27294921875, 360.3121337890625], [887.6851196289062, 386.8437194824219], [931.600830078125, 387.347412109375], [867.5167236328125, 379.2286376953125], [957.1272583007812, 380.0585632324219], [834.77783203125, 420.0549621582031], [959.1259765625, 421.7625732421875]]]"
5,2,904,132,1005,232,"[[[946.2037353515625, 148.68734741210938], [947.6744384765625, 145.9945068359375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [968.8743286132812, 155.62298583984375], [939.8076171875, 155.04061889648438], [984.30517578125, 170.77244567871094], [920.44873046875, 165.1793670654297], [979.8740234375, 182.95309448242188], [914.2767333984375, 176.36990356445312], [977.9378051757812, 182.1151123046875], [959.105712890625, 181.9228515625], [975.6947021484375, 183.84812927246094], [951.3221435546875, 183.17263793945312], [984.8650512695312, 210.2103271484375], [961.1420288085938, 208.4066162109375]]]"
6,1,808,299,970,434,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [914.7196044921875, 321.5871887207031], [872.1239013671875, 337.6608581542969], [924.87744140625, 337.93157958984375], [848.2559814453125, 363.0770263671875], [952.2118530273438, 356.7312316894531], [852.1279907226562, 371.03173828125], [953.9208374023438, 352.8665771484375], [871.9973754882812, 390.59246826171875], [912.0845336914062, 391.2925109863281], [861.5962524414062, 385.64739990234375], [947.1085815429688, 386.86260986328125], [825.4591064453125, 419.0812072753906], [942.375, 421.8099365234375]]]"
6,2,890,129,994,232,"[[[935.1221313476562, 145.23280334472656], [937.29150390625, 142.8389434814453], [0.0, 0.0], [943.669921875, 143.95225524902344], [0.0, 0.0], [948.7048950195312, 154.6165771484375], [945.30419921875, 150.19561767578125], [931.60400390625, 169.83999633789062], [915.9703369140625, 161.43141174316406], [915.5736694335938, 177.37440490722656], [899.6124877929688, 177.80239868164062], [968.4669189453125, 184.3084716796875], [965.6475219726562, 181.75753784179688], [949.6141357421875, 186.77200317382812], [944.014892578125, 183.52151489257812], [966.2264404296875, 214.62623596191406], [960.395751953125, 208.74461364746094]]]"
