frame,track_id,x1,y1,x2,y2,keypoints
1,1,247,565,546,826,"[[[375.24456787109375, 619.1175537109375], [0.0, 0.0], [372.8197937011719, 614.2821655273438], [0.0, 0.0], [360.7179870605469, 614.8189697265625], [364.2643737792969, 639.3812255859375], [334.3243713378906, 642.2195434570312], [364.09454345703125, 660.8349609375], [302.30810546875, 656.7235717773438], [360.85498046875, 647.8939208984375], [283.12628173828125, 652.5186767578125], [379.71942138671875, 703.2111206054688], [363.10546875, 713.080810546875], [424.6944885253906, 664.88525390625], [413.5245361328125, 677.2479858398438], [491.255615234375, 675.9117431640625], [495.86083984375, 691.8721923828125]]]"
2,1,245,566,547,829,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [348.33026123046875, 648.4896240234375], [329.0645751953125, 645.0411376953125], [345.3084716796875, 667.3843383789062], [326.88043212890625, 654.142578125], [335.3321228027344, 639.3311157226562], [306.84210205078125, 645.1675415039062], [373.130615234375, 695.2189331054688], [366.128173828125, 696.2266845703125], [411.30230712890625, 683.535888671875], [417.5956115722656, 659.6321411132812], [480.9124755859375, 694.62060546875], [499.57366943359375, 655.685302734375]]]"
3,1,264,568,526,795,"[[[270.250732421875, 649.6812744140625], [268.7745056152344, 643.953857421875], [0.0, 0.0], [281.8244323730469, 642.378173828125], [0.0, 0.0], [319.51837158203125, 654.8489990234375], [311.9387512207031, 658.6264038085938], [355.8586730957031, 650.3072509765625], [349.0010986328125, 651.6029663085938], [357.3853759765625, 641.4017333984375], [340.5281982421875, 634.5459594726562], [383.025390625, 672.98095703125], [379.6651916503906, 675.7197265625], [418.01617431640625, 681.809814453125], [423.88470458984375, 662.2335815429688], [488.37030029296875, 688.27294921875], [507.2493896484375, 653.419189453125]]]"
4,1,294,572,496,742,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [300.3739013671875, 646.8645629882812], [310.3898010253906, 659.240966796875], [337.8194885253906, 646.481201171875], [0.0, 0.0], [343.8488464355469, 634.3221435546875], [355.66937255859375, 635.8699951171875], [368.6817932128906, 685.7354736328125], [373.1943054199219, 696.4708862304688], [434.6985168457031, 652.0499267578125], [440.5029602050781, 661.9971313476562], [495.22357177734375, 688.744873046875], [499.00439453125, 697.2597045898438]]]"
5,1,260,577,530,803,"[[[277.8249816894531, 638.6227416992188], [276.850830078125, 633.881591796875], [0.0, 0.0], [288.04254150390625, 638.2392578125], [0.0, 0.0], [314.2026672363281, 655.6861572265625], [309.40325927734375, 668.2333984375], [354.3391418457031, 636.9617919921875], [357.07537841796875, 656.7366333007812], [361.4940185546875, 629.4667358398438], [355.5622253417969, 630.322021484375], [375.61151123046875, 687.2620849609375], [375.87042236328125, 695.6820068359375], [425.8503723144531, 678.86572265625], [427.1346130371094, 672.1444702148438], [475.7972412109375, 707.402099609375], [488.8841552734375, 687.9252319335938]]]"
6,1,269,576,521,786,"[[[279.24212646484375, 643.24658203125], [278.91168212890625, 636.7149047851562], [276.088134765625, 642.9673461914062], [291.05828857421875, 636.9197998046875], [0.0, 0.0], [320.71759033203125, 649.9844360351562], [314.1448059082031, 666.6146240234375], [356.27166748046875, 640.6241455078125], [350.4487609863281, 661.5292358398438], [358.6572265625, 633.4716796875], [352.5014953613281, 628.8759765625], [384.73480224609375, 676.9933471679688], [380.11932373046875, 688.1773681640625], [424.4779357910156, 679.8313598632812], [427.221435546875, 684.330810546875], [489.010986328125, 693.7098388671875], [502.03955078125, 692.9151611328125]]]"
7,1,270,576,514,776,"[[[276.825439453125, 646.7649536132812], [276.3163757324219, 640.174560546875], [0.0, 0.0], [289.8829040527344, 638.4945068359375], [0.0, 0.0], [321.9928894042969, 648.9375610351562], [315.02728271484375, 664.4999389648438], [359.84454345703125, 643.8296508789062], [347.62005615234375, 665.0459594726562], [357.8099060058594, 634.1444091796875], [342.6607971191406, 632.0343627929688], [383.5132751464844, 678.9468994140625], [378.784423828125, 689.1090698242188], [422.1320495605469, 680.0231323242188], [424.2370300292969, 684.1469116210938], [483.08642578125, 697.5496826171875], [496.01678466796875, 697.3164672851562]]]"
8,1,284,577,503,752,"[[[279.2580871582031, 652.21435546875], [278.7215576171875, 645.9285888671875], [0.0, 0.0], [290.1730041503906, 644.7645263671875], [0.0, 0.0], [320.1588134765625, 655.7564697265625], [314.5885314941406, 667.7431640625], [358.5165100097656, 646.6851806640625], [352.9979248046875, 660.518310546875], [360.734375, 636.2025756835938], [353.52703857421875, 627.4229125976562], [382.98699951171875, 683.953857421875], [379.16510009765625, 692.7584228515625], [421.1457214355469, 678.0074462890625], [423.9092712402344, 679.4904174804688], [482.6611022949219, 695.8460693359375], [498.0865478515625, 693.0032348632812]]]"
9,1,267,578,518,780,"[[[281.77618408203125, 653.2903442382812], [281.2724609375, 646.7478637695312], [0.0, 0.0], [294.1414794921875, 644.0147094726562], [0.0, 0.0], [326.08935546875, 654.4612426757812], [315.91058349609375, 666.97802734375], [351.2032470703125, 653.3247680664062], [340.2899169921875, 672.4558715820312], [336.1044921875, 643.38427734375], [318.10186767578125, 644.5760498046875], [386.67193603515625, 682.6984252929688], [380.921630859375, 690.2647705078125], [420.6754455566406, 682.983642578125], [421.9440612792969, 678.7699584960938], [481.0418701171875, 701.948486328125], [497.34417724609375, 691.6829223632812]]]"
10,1,249,582,532,810,"[[[289.060791015625, 659.7693481445312], [0.0, 0.0], [0.0, 0.0], [301.10601806640625, 650.399658203125], [0.0, 0.0], [330.12091064453125, 660.8085327148438], [314.7694396972656, 668.2247924804688], [355.6856689453125, 657.3133544921875], [345.24566650390625, 656.2203979492188], [346.802978515625, 651.1758422851562], [349.89739990234375, 638.1868286132812], [396.5564270019531, 681.0267333984375], [387.4723815917969, 688.488037109375], [420.25701904296875, 693.4014892578125], [416.38665771484375, 696.7734985351562], [475.7721862792969, 710.263427734375], [480.13494873046875, 710.9048461914062]]]"
