frame,track_id,x1,y1,x2,y2,keypoints
1,1,184,556,489,836,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [329.7071533203125, 636.15576171875], [266.3759460449219, 649.4031372070312], [381.4556884765625, 668.3189697265625], [260.17626953125, 684.3101806640625], [444.96063232421875, 667.8856811523438], [307.05126953125, 649.8681640625], [357.9388427734375, 744.6972045898438], [319.17681884765625, 754.7405395507812], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
2,1,182,573,470,835,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [316.6071472167969, 641.6320190429688], [268.5322570800781, 649.2571411132812], [389.1328125, 663.7511596679688], [268.08331298828125, 653.067626953125], [448.89300537109375, 666.320556640625], [295.22491455078125, 643.312255859375], [361.8236083984375, 729.2803955078125], [322.71417236328125, 743.9136352539062], [411.0205383300781, 786.3051147460938], [335.6559753417969, 823.9931640625], [0.0, 0.0], [0.0, 0.0]]]"
3,1,182,573,471,835,"[[[304.4936828613281, 610.7088623046875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [319.853271484375, 644.7493896484375], [271.075439453125, 649.036865234375], [391.6246337890625, 666.1141357421875], [283.4770202636719, 652.5909423828125], [452.886962890625, 667.2448120117188], [331.5280456542969, 644.94482421875], [359.5545349121094, 733.5139770507812], [319.7371826171875, 746.5997314453125], [407.8333740234375, 787.9590454101562], [332.148681640625, 822.6229248046875], [0.0, 0.0], [0.0, 0.0]]]"
4,1,183,569,479,835,"[[[303.91339111328125, 613.8140258789062], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [318.537109375, 640.5122680664062], [266.69024658203125, 658.534912109375], [388.123046875, 663.632568359375], [270.5885314941406, 681.9833984375], [452.9794616699219, 663.4537353515625], [322.88348388671875, 659.79248046875], [363.6788024902344, 729.816650390625], [322.6535339355469, 748.892822265625], [412.8757019042969, 780.7484741210938], [339.1526184082031, 821.1961669921875], [0.0, 0.0], [0.0, 0.0]]]"
5,1,177,566,479,835,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [316.7449951171875, 651.6597290039062], [267.0428466796875, 654.3002319335938], [397.9390869140625, 663.804443359375], [277.6153564453125, 651.9366455078125], [462.9342041015625, 662.5059204101562], [311.1900634765625, 642.7901611328125], [361.8183288574219, 735.103271484375], [320.5615539550781, 746.2863159179688], [414.05792236328125, 786.6429443359375], [330.1663513183594, 815.90869140625], [0.0, 0.0], [0.0, 0.0]]]"
6,1,174,564,479,836,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [287.7673034667969, 656.4505615234375], [259.17901611328125, 654.1312255859375], [391.1205139160156, 663.3424072265625], [328.3348388671875, 649.3020629882812], [464.7977600097656, 659.287353515625], [399.8475341796875, 657.57568359375], [354.9233703613281, 752.3389892578125], [334.450927734375, 757.3189086914062], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
7,1,174,565,482,836,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [278.6544189453125, 659.8142700195312], [279.9123229980469, 651.250244140625], [366.0792236328125, 685.110595703125], [373.9862060546875, 651.7705688476562], [464.5213623046875, 679.1796875], [453.9124755859375, 663.9694213867188], [344.30120849609375, 747.5814819335938], [340.2649230957031, 754.3131103515625], [0.0, 0.0], [369.37554931640625, 800.9363403320312], [0.0, 0.0], [0.0, 0.0]]]"
8,1,178,566,486,835,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [297.6148376464844, 627.2828979492188], [276.8670349121094, 666.8880004882812], [311.69793701171875, 656.59912109375], [326.76092529296875, 702.5372314453125], [390.3821105957031, 658.5502319335938], [432.60400390625, 698.3360595703125], [462.080322265625, 662.5607299804688], [330.0292053222656, 770.3302001953125], [347.4903564453125, 774.0379028320312], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
9,1,177,569,487,837,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [332.3190612792969, 657.94677734375], [276.4520263671875, 661.6226806640625], [397.1510009765625, 669.1095581054688], [286.2030029296875, 667.0039672851562], [461.9351501464844, 666.3780517578125], [323.2069091796875, 656.0867309570312], [360.2940368652344, 766.94482421875], [325.0116271972656, 772.3834228515625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
10,1,185,580,485,837,"[[[315.7980041503906, 631.7885131835938], [318.28717041015625, 623.9114990234375], [305.9416198730469, 627.2330322265625], [0.0, 0.0], [0.0, 0.0], [346.2179870605469, 661.2039184570312], [276.1781311035156, 672.2392578125], [401.28826904296875, 664.4469604492188], [239.76239013671875, 687.3797607421875], [460.82232666015625, 660.8589477539062], [255.64993286132812, 670.3872680664062], [357.0736389160156, 770.3675537109375], [315.4967956542969, 778.5108032226562], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
